ite,time_1,time_2,ans
963,0.001,7.78E-5,
964,0,7.21E-5,
965,0,1.373E-4,
966,0,1.82E-4,
967,0,5.35E-5,
968,0,6.71E-5,
969,0,1.605E-4,
970,0,8.55E-5,
971,0,8.32E-5,
972,0,5.83E-5,
973,0,6.05E-5,
974,0,6.34E-5,
975,0,7.91E-5,
976,0.001,5.15E-5,
977,0,7.87E-5,
978,0,7.22E-5,
979,0,6.67E-5,
980,0,5.83E-5,
981,0,5.47E-5,
982,0,8.9E-5,
983,0,1.321E-4,
984,0,5.2E-5,
985,0,4.83E-5,
986,0,1.745E-4,
987,0.001,1.026E-4,
988,0,6.34E-5,
989,0,4.76E-5,
990,0,2.51E-5,
991,0,2.99E-5,
992,0,2.53E-5,
993,0,2.042E-4,
994,0,7.62E-5,
995,0,7.74E-5,
996,0,4.92E-5,
997,0,6.05E-5,
998,0,6.15E-5,
999,0,1.278E-4,
1000,0.001,6.29E-5,
1001,0,1.595E-4,
1002,0,8.15E-5,
1003,0,1.201E-4,
1004,0,7.82E-5,
1005,0,6.85E-5,
1006,0,8.63E-5,
1007,0.001,1.533E-4,
1008,0,1.14E-4,
1009,0,6.53E-5,
1010,0,6.21E-5,
1011,0,4.55E-5,
1012,0,5.43E-5,
1013,0,2.68E-5,
1014,0,4.428E-4,
1015,0,5.55E-5,
1016,0,7.08E-5,
1017,0.001,6.87E-5,
1018,0,5.89E-5,
1019,0,5.76E-5,
1020,0,5.51E-5,
1021,0,6.81E-5,
1022,0,2.04E-4,
1023,0,5.87E-5,
1024,0,5.44E-5,
1025,0,5.89E-5,
1026,0,5.35E-5,
1027,0,6.29E-5,
1028,0,4.38E-5,
1029,0,1.202E-4,
1030,0,7.79E-5,
1031,0,8.0E-5,
1032,0,1.352E-4,
1033,0.001,1.168E-4,
1034,0,9.18E-5,
1035,0,1.453E-4,
1036,0,1.151E-4,
1037,0,1.862E-4,
1038,0,9.39E-5,
1039,0,7.44E-5,
1040,0.001,7.45E-5,
1041,0.001,8.31E-5,
1042,0,1.042E-4,
1043,0,8.41E-5,
1044,0,1.285E-4,
1045,0,5.73E-5,
1046,0.001,4.37E-5,
1047,0,6.92E-5,
1048,0,9.36E-5,
1049,0,5.53E-5,
1050,0,8.67E-5,
1051,0,9.31E-5,
1052,0,5.19E-5,
1053,0,2.226E-4,
1054,0,6.12E-5,
1055,0,6.2E-5,
1056,0,7.44E-5,
1057,0,4.82E-5,
1058,0,6.02E-5,
1059,0,4.27E-5,
1060,0,2.99E-5,
1061,0,2.9E-5,
1062,0,4.69E-5,
1063,0,4.13E-5,
1064,0,2.58E-5,
1065,0,2.26E-5,
1066,0,2.58E-5,
1067,0,1.087E-4,
1068,0.001,1.01E-4,
1069,0,2.88E-4,
